"","Nest","maxclutch","year","site"
"521","TLM124",4,1998,"kig"
"522","TLM126",3,1998,"kig"
"523","TLM128",5,1998,"kig"
"524","TLM135",3,1998,"kig"
"525","TLM136",5,1998,"kig"
"526","TLM140",6,1998,"kig"
"527","TLM141",3,1998,"kig"
"528","TLM142",5,1998,"kig"
"529","TLM146",6,1998,"kig"
"530","TLM153",4,1998,"kig"
"531","TLM154",5,1998,"kig"
"532","TLM157",4,1998,"kig"
"533","TLM158",5,1998,"kig"
"534","TLM159",4,1998,"kig"
"535","TLM163",4,1998,"kig"
"536","TLM164",4,1998,"kig"
"537","TLM165",4,1998,"kig"
"538","TLM166",2,1998,"kig"
"539","TLM167",4,1998,"kig"
"540","TLM169",2,1998,"kig"
"541","TLM170",3,1998,"kig"
"542","TLM171",4,1998,"kig"
"543","TLM172",4,1998,"kig"
"544","TLM174",4,1998,"kig"
"545","TLM175",5,1998,"kig"
"546","TLM176",4,1998,"kig"
"547","TLM177",2,1998,"kig"
"548","TLM178",3,1998,"kig"
"549","TLM179",5,1998,"kig"
"550","AQ001",4,1999,"kig"
"551","CLR002",6,1999,"kig"
"552","CLR006",3,1999,"kig"
"553","CLR007",4,1999,"kig"
"554","CLR015",4,1999,"kig"
"555","CLR033",4,1999,"kig"
"556","CLR034",5,1999,"kig"
"557","CLR036",5,1999,"kig"
"558","CLR043",5,1999,"kig"
"559","CLR048",5,1999,"kig"
"560","CLR057",5,1999,"kig"
"561","GJH002",6,1999,"kig"
"562","GJH005",3,1999,"kig"
"563","GJH009",4,1999,"kig"
"564","GJH019",6,1999,"kig"
"565","GJH020",6,1999,"kig"
"566","GJH027",6,1999,"kig"
"567","GJH028",5,1999,"kig"
"568","GJH034",4,1999,"kig"
"569","GJH035",5,1999,"kig"
"570","GJH045",5,1999,"kig"
"571","GJH051",4,1999,"kig"
"572","GJH052",5,1999,"kig"
"573","GJH054",5,1999,"kig"
"574","GJH056",5,1999,"kig"
"575","GJH057",5,1999,"kig"
"576","GJH058",4,1999,"kig"
"577","GJH060",5,1999,"kig"
"578","GJH062",3,1999,"kig"
"579","GJH063",4,1999,"kig"
"580","GJH066",5,1999,"kig"
"581","GJH069",4,1999,"kig"
"582","GJH074",4,1999,"kig"
"583","GJH075",5,1999,"kig"
"584","GJH076",7,1999,"kig"
"585","GJH077",5,1999,"kig"
"586","GJH081",6,1999,"kig"
"587","GJH089",4,1999,"kig"
"588","GJH090",3,1999,"kig"
"589","GJH092",4,1999,"kig"
"590","GJH093",6,1999,"kig"
"591","GJH096",5,1999,"kig"
"592","GJH098",5,1999,"kig"
"593","GJH100",5,1999,"kig"
"594","GJH111",5,1999,"kig"
"595","GJH114",5,1999,"kig"
"596","GJH115",5,1999,"kig"
"597","GJH117",5,1999,"kig"
